moteid,timestamp,temperature
1,2004-02-28 00:00:01,21.0
1,2004-02-28 00:00:32,21.0
1,2004-02-28 00:01:03,21.0
1,2004-02-28 00:01:34,21.0
1,2004-02-28 00:02:05,21.0
1,2004-02-28 00:02:36,21.0
1,2004-02-28 00:03:07,21.0
1,2004-02-28 00:03:38,21.0
1,2004-02-28 00:04:09,21.0
1,2004-02-28 00:04:40,21.0
1,2004-02-28 00:05:11,21.0
1,2004-02-28 00:05:42,21.0
1,2004-02-28 00:06:13,21.0
1,2004-02-28 00:06:44,21.0
1,2004-02-28 00:07:15,21.0
1,2004-02-28 00:07:46,21.0
1,2004-02-28 00:08:17,21.0
1,2004-02-28 00:08:48,21.0
1,2004-02-28 00:09:19,21.0
1,2004-02-28 00:09:50,21.0
1,2004-02-28 00:10:21,21.0
1,2004-02-28 00:10:52,21.0
1,2004-02-28 00:11:23,21.0
1,2004-02-28 00:11:54,21.0
1,2004-02-28 00:12:25,21.0
1,2004-02-28 00:12:56,21.0
1,2004-02-28 00:13:27,21.0
1,2004-02-28 00:13:58,21.0
1,2004-02-28 00:14:29,21.0
1,2004-02-28 00:15:00,21.0
1,2004-02-28 00:15:31,21.0
1,2004-02-28 00:16:02,21.0
1,2004-02-28 00:16:33,21.0
1,2004-02-28 00:17:04,21.0
1,2004-02-28 00:17:35,21.0
1,2004-02-28 00:18:06,21.0
1,2004-02-28 00:18:37,21.0
1,2004-02-28 00:19:08,21.0
1,2004-02-28 00:19:39,21.0
1,2004-02-28 00:20:10,21.0
1,2004-02-28 00:20:41,21.0
1,2004-02-28 00:21:12,21.0
1,2004-02-28 00:21:43,21.0
1,2004-02-28 00:22:14,21.0
1,2004-02-28 00:22:45,21.0
1,2004-02-28 00:23:16,21.0
1,2004-02-28 00:23:47,21.0
1,2004-02-28 00:24:18,21.0
1,2004-02-28 00:24:49,21.0
1,2004-02-28 00:25:20,21.0
1,2004-02-28 00:25:51,21.0
1,2004-02-28 00:26:22,21.0
